,SRR3578625,SRR3578645
Canis_familiaris,0.03666906474820143,0.045264204545454545
Industrialized_humans,0.21270449570570474,0.069
Non_industrialized_humans,0.2566539160464553,0.12473579545454545
Sus_scrofa,0.005972523499638467,0.0
unknown,0.488,0.761
